"","HS.Code_6","BEC4","BEC.Descriptions","Retained.Goods"
"71","20210","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"72","20220","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"73","20230","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"74","20311","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"75","20312","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"76","20319","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"77","20321","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"78","20322","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"79","20329","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"80","20410","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"81","20421","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"82","20422","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"83","20423","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"84","20430","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"85","20441","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"86","20442","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"87","20443","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"88","20450","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"89","20500","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"90","20610","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"91","20621","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"92","20622","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"93","20629","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"94","20630","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"95","20641","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"96","20649","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"97","20680","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"98","20690","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"99","20711","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"100","20712","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"101","20713","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"102","20714","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"106","20724","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"107","20725","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"108","20726","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"109","20727","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"113","20741","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"114","20751","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"115","20760","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"116","20742","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"117","20752","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"119","20743","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"120","20753","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"121","20744","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"122","20754","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"124","20745","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"126","20755","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"136","20810","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"137","20840","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"139","20860","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"141","20890","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"143","20830","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"147","20850","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"155","20910","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"156","20990","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"157","21011","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"158","21012","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"159","21019","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"160","21020","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"161","21091","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"164","21092","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"167","21093","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"173","21099","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"176","30111","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"177","30119","63","Consumer Goods Not Elsewhere Specified: Non-Durable","Consumption Goods"
"178","30191","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"180","30192","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"181","30193","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"183","30199","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"184","30194","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"185","30195","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"189","30211","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"190","30299","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"193","30213","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"195","30214","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"197","30219","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"199","30221","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"201","30222","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"203","30223","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"205","30224","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"207","30229","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"209","30231","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"211","30232","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"213","30233","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"215","30234","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"217","30235","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"219","30236","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"223","30239","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"225","30241","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"227","30251","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"229","30243","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"231","30252","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"233","30253","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"235","30244","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"237","30281","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"238","30292","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"240","30274","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"242","30247","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"244","30283","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"246","30242","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"248","30245","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"250","30246","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"252","30254","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"254","30255","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"256","30256","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"258","30284","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"260","30285","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"262","30249","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"263","30273","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"264","30289","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"266","30259","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"268","30271","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"270","30272","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"274","30279","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"276","30282","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"278","30291","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"279","30311","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"280","30399","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"281","30312","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"283","30314","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"287","30313","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"289","30319","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"291","30331","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"293","30332","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"295","30333","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"297","30334","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"299","30339","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"301","30341","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"303","30342","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"305","30343","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"307","30344","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"309","30345","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"311","30346","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"315","30349","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"317","30351","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"319","30363","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"321","30353","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"323","30364","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"325","30365","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"327","30354","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"329","30381","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"330","30392","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"332","30326","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"334","30384","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"336","30366","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"338","30357","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"340","30383","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"342","30323","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"344","30324","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"346","30325","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"348","30329","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"350","30355","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"352","30356","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"354","30367","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"356","30368","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"358","30369","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"360","30382","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"363","30359","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"364","30389","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"366","30391","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"367","30445","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"369","30454","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"371","30446","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"373","30455","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"375","30431","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"377","30432","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"379","30433","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"381","30439","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"383","30441","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"385","30442","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"387","30451","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"389","30456","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"391","30457","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"393","30459","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"395","30443","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"397","30444","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"401","30447","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"403","30448","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"405","30449","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"409","30452","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"411","30453","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"413","30484","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"414","30485","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"415","30461","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"416","30462","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"417","30463","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"418","30469","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"419","30471","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"420","30472","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"421","30483","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"422","30486","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"423","30487","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"425","30488","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"426","30489","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"427","30473","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"428","30474","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"429","30475","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"430","30479","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"431","30481","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"432","30482","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"433","30491","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"434","30492","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"435","30493","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"436","30494","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"437","30495","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"439","30496","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"440","30497","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"441","30499","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"442","30510","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"443","30520","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"446","30531","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"447","30532","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"449","30539","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"450","30541","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"451","30572","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"452","30579","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"453","30542","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"456","30543","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"457","30544","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"459","30549","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"460","30571","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"463","30551","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"464","30572","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"465","30579","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"466","30552","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"467","30553","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"468","30554","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"469","30559","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"470","30571","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"473","30561","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"476","30562","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"479","30563","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"482","30564","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"484","30569","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"488","30611","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"489","30612","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"490","30616","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"491","30617","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"492","30614","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"493","30615","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"494","30619","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"495","30631","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"497","30691","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"499","30632","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"501","30692","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"503","30635","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"505","30695","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"507","30636","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"511","30633","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"513","30693","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"515","30634","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"517","30694","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"519","30639","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"521","30699","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"523","30711","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"524","30712","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"525","30719","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"526","30721","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"530","30722","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"533","30729","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"536","30731","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"540","30732","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"543","30739","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"546","30742","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"547","30743","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"548","30749","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"549","30751","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"550","30752","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"551","30759","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"552","30760","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"553","30771","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"557","30781","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"565","30782","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"569","30791","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"573","30811","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"577","30821","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"581","30830","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"585","30890","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"589","30772","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"592","30779","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"595","30783","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"598","30787","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"607","30784","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"610","30788","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"613","30792","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"616","30799","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"619","30812","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"622","30819","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"625","30822","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"628","30829","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"637","40110","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"639","40120","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"641","40140","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"643","40150","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"645","40210","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"647","40221","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"649","40229","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"651","40291","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"652","40299","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"653","40310","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"660","40390","112","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"667","40410","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"669","40490","121","Food and Beverage: Primary- Mainly for Industry","Intermediate Goods"
"674","40510","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"675","40520","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"677","40590","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"678","40610","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"679","40620","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
"680","40630","122","Food and Beverage: Processed- Mainly for Household consumption","Consumption Goods"
