Year,Month,Livestock.Substitution, total 
2024,January,Canned Tunas,21828964
2024,January,Chicken,206568801
2024,January,Chicken Eggs,28288355
2024,February,Canned Mackerel,4028479
2024,February,Canned Tunas,50764231
2024,February,Chicken,98518777
2024,February,Chicken Eggs,17897751
2024,March,Canned Mackerel,21762270
2024,March,Canned Tunas,38040640
2024,March,Chicken,61818144
2024,March,Chicken Eggs,11560144
2024,April,Canned Mackerel,19077076
2024,April,Canned Tunas,73676146
2024,April,Chicken,53512655
2024,April,Chicken Eggs,19261824
2024,May,Canned Mackerel,7000000
2024,May,Canned Tunas,45306594
2024,May,Chicken,52797594
2024,May,Chicken Eggs,14052468
2024,June,Canned Mackerel,9284359
2024,June,Canned Tunas,66066477
2024,June,Chicken,72693496
2024,June,Chicken Eggs,3708158
2024,July,Canned Mackerel,27129903
2024,July,Canned Tunas,61564335
2024,July,Chicken,66182770
2024,July,Chicken Eggs,14582041
2024,August,Canned Mackerel,3215431
2024,August,Canned Tunas,35639691
2024,August,Chicken,36731275
2024,August,Chicken Eggs,7176148
2024,September,Canned Mackerel,7497942
2024,September,Canned Tunas,8837568
2024,September,Chicken,15496173
2024,September,Chicken Eggs,7961126
2024,October,Canned Mackerel,3215431
2024,October,Canned Tunas,35639691
2024,October,Chicken,36731275
2024,October,Chicken Eggs,7176148
2024,November,Canned Mackerel,19291262
2024,November,Canned Tunas,29207583
2024,November,Chicken,122179093
2024,November,Chicken Eggs,18297977
