HS.Code_4,Description
2804,"Hydrogen, Rare Gases and other Non-metals"
2805,"Alkali or Alkaline-earth Metals; Rare-earth Metals, Scandium and Yttrium, whether or not Intermixed or Interalloyed; Mercury"
2806,Hydrogen Chloride (hydrochloric Acid); Chlorosulphuric Acid
2807,Sulphuric Acid; Oleum
2808,Nitric Acid; Sulphonitric Acids
2809,Diphosphorus Pentaoxide; Phosphoric Acid an Polyphosphoric Acids
2810,Oxides of Boron; Boric Acids
2811,Inorganic Acids and other Inorganic Oxygen Compounds of Non-metals; n.e.s. in Heading No. 2806 to 2810
2812,Halides and Halide Oxides of Non-metals
2813,Sulphides of Non-metals; Commercial Phosphorus Trisulphide
2814,Ammonia; Anhydrous or in Aqueous Solution
2815,Sodium Hydroxide (caustic Soda); Potassium Hydroxide (caustic Potash) Peroxides of Sodium or Potassium
2816,"Hydroxide and Peroxide of Magnesium; Oxides, Hydroxides and Peroxides of Strontium or Barium"
2817,Zinc; Oxide and Peroxide
2818,Aluminium Oxide (including Artificial Corundum); Aluminium Hydroxide
2819,Chromium Oxides and Hydroxides
2820,Manganese Oxides
2821,Iron Oxides and Hydroxides; Earth Colours containing 70% or more by Weight of Combined Iron Evaluated as Fe203
2822,Cobalt Oxides and Hydroxides; Commercial Cobalt Oxides
2823,Titanium Oxides
2824,Lead Oxides; Red Lead and Orange Lead
2825,"Hydrazine and Hydroxylamine and their Inorganic Salts; other Inorganic Bases; other Metal Oxides, Hydroxides and Peroxides"
2826,"Fluorides; Fluorosilicates, Fluoroaluminates and other Complex Fluorine Salts"
2827,Chlorides; Chloride Oxides and Chloride Hydroxides; Bromides and Bromide Oxides; Iodides and Iodide Oxides
2828,Hypochlorites; Commercial Calcium Hypochlorite; Chlorites; Hypobromites
2829,Chlorates and Perchlorates; Bromates and Perbromates; Iodates and Periodates
2830,Sulphides; Polysulphides
2831,Dithionites and Sulphoxylates
2832,Sulphites; Thiosulphates
2833,Sulphates; Alums; Peroxosulphates (persulphates)
2834,Nitrites; Nitrates
2835,"Phosphinates (hypophosphites), Phosphonates (phosphites), Phosphates and Polyphosphates"
2836,Carbonates; Peroxocarbonates (percarbonates); Commercial Ammonium Carbonate containing Ammonium Carbamate
2837,"Cyanides, Cyanide Oxides and Complex Cyanides"
2838,"Fulminates, Cyanates and Thiocyanates"
2839,Silicates; Commercial Alkali Metal Silicates
2840,Borates; Peroxoborates (perborates)
2841,Salts of Oxometallic or Peroxometallic Acids
2842,"Salts of Inorganic Acids or Peroxoacids, excluding Azides, n.e.s."
2843,"Colloidal Precious Metals; Inorganic or Organic Compounds of Precious Metals, whether or not Chemically Defined; Amalgams of Precious Metals"
2844,Radioactive Chemical Elements and Radioactive Isotopes (including the Fissile or Fertile Chemical Elements and Isotopes); and their Compounds; Mixtures and Residues containing these Products
2845,"Isotopes other than those of Heading No. 2844; Compounds, Inorganic or Organic, of such Isotopes, whether or not Chemically Defined"
2846,"Compounds, Inorganic or Organic, of Rare- Earth Metals; of Yttrium or of Scandium or of Mixtures of these Metals"
2847,Hydrogen Peroxide; whether or not Solidified with Urea
2848,"Phosphides; whether or not Chemically Defined, not Ferrophosphorus"
2849,"Carbides, whether or not Chemically Defined"
2850,"Hydrides, Nitrides, Azides, Silicides and Borides, whether or not Chemically Defined"
2851,"Inorganic Compounds n.e.s. (incl. Distilled or Conductivity Water and Water of similar Purity); Liquid Air (whether or not Rare Gases Have Been Removed); Compressed Air; Amalgams, not of Precious Metals"
2901,Acyclic Hydrocarbons
2902,Cyclic Hydrocarbons
2903,Halogenated Derivatives of Hydrocarbons
2904,"Sulphonated, Nitrated or Nitrosated Derivatives of Hydrocarbons; whether or not Halogenated"
2905,"Acyclic Alcohols and their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2906,"Alcohols; Cyclic, and their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2907,Phenols; Phenol-alcohols
2908,"Phenols or Phenol-alcohols; Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives thereof"
2909,"Ethers, Ether-alcohols, Ether-phenols, Ether-alcohol-phenols, Alcohol Peroxides, Ether Peroxides, Ketone Peroxides (chemically Defined or Not); Halogenated, Sul- Phonated, Nitrated, Nitrosated Derivative"
2910,"Epoxides, Epoxyalcohols, Epoxyphenols and Epoxyethers; with a Three-membered Ring and their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2911,"Acetals and Hemiacetals; whether or not with other Oxygen Function, and their Halogenated, Sulphonated, Nitrated or Nitrostated Derivatives"
2912,"Aldehydes, whether or not with other Oxygen Function; Cyclic Polymers of Aldehydes; Paraformaldehyde"
2913,"Aldehydes; Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives of Products of Heading No. 2912"
2914,"Ketones and Quinones; whether or not with other Oxygen Function, and their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2915,"Acids; Saturated Acyclic Monocarboxylic Acids and their Anhydrides, Halides, Peroxides and Peroxyacids; their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2916,"Acids; Unsaturated Acyclic Monocarboxylic, Cyclic Monocarboxylic, their Anhydrides, Halides, Peroxides, Peroxyacids; their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2917,"Acids; Polycarboxylic Acids, their Anhydrides, Halides, Peroxides and Peroxy- Acids; their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2918,"Acids; Carboxylic Acid with Additional Oxygen Function and their Anhydrides, Halides, Peroxides, Peroxyacids; their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2919,"Esters; Phosphoric; and their Salts, including Lactophosphates; their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2920,"Esters of other Inorganic Acids (not Esters of Hydrogen Halides) and their Salts; their Halogenated, Sulphonated, Nitrated or Nitrosated Derivatives"
2921,Amine-function Compounds
2922,Oxygen-function Amino-compounds
2923,Quaternary Ammonium Salts and Hydroxides; Lecithins and other Phosphoaminolipids
2924,Carboxyamide-function Compounds; Amide- Function Compounds of Carbonic Acid
2925,Carboxyimide-function Compounds (including Saccharin and Its Salts) and Imine-function Compounds
2926,Nitrile-function Compounds
2927,"Diazo-, Azo- or Azoxy-compounds"
2928,Organic Derivatives of Hydrazine or of Hydroxylamine
2929,"Nitrogen-function Compounds, other"
2930,Organo-sulphur Compounds
2931,"Organo-inorganic Compounds; other, n.e.s. in Heading No. 2930"
2932,Heterocyclic Compounds with Oxygen Hetero- Atom(s) only
2933,Heterocyclic Compounds with Nitrogen Hetero-atom(s) only; Nucleic Acids and their Salts
2934,Heterocyclic Compounds; n.e.s. in Chapter 29
2935,Sulphonamides
2936,"Provitamins, Vitamins; Natural or Reproduced by Synthesis (including Natural Concentrates) Derivatives thereof used as Vitamins, and Intermixtures of the Fore- Going, whether or not in any Solvent"
2937,"Hormones, Natural or Reproduced by Synthesis; Derivatives thereof, used primarily as Hormones; other Steroids used primarily as Hormones"
2938,"Glycosides, Natural or Reproduced by Synthesis, and their Salts, Ethers, Esters and other Derivatives"
2939,"Alkaloids, Vegetable; Natural or Reproduced by Synthesis, and their Salts, Ethers, Esters and other Derivatives"
2940,"Sugars, Chemically Pure, not Sucrose, Lactose, Maltose, Glucose or Fructose; Sugar Ethers and Sugar Esters and their Salts, other than Products of Heading No. 2937, 2938 or 2939"
2941,Antibiotics
2942,Organic Compounds; n.e.s. in Chapter 29
3001,"Glands, Organs (extracts, Secretions Thereof) for Organo-therapeutic uses, Dried, Powdered or not; Heparin and Its Salts; other Human or Animal Substances for Therapeutic or Prophylactic uses N.e.s"
3002,"Blood; Human or Animal; prepared for Therapeutic, Prophylactic, Diagnostic uses; Antisera and other Blood Fractions; Vac- Cines, Toxins, Cultures of Micro-organisms and similar Products (excluding Yeasts)"
3003,"Medicaments; (not Goods of Heading No. 3002, 3005 or 3006) of two or more Constituents Mixed Together for Therapeutic or Prophylactic use, not in Measured Doses or in forms or Packings for Retail Sale"
3004,"Medicaments; (not Goods of Heading No. 3002, 3005 or 3006) Consisting of Mixed or Unmixed Products for Therapeutic or Prophylactic use, put up in Measured Doses or in forms or Packings for Retail Sale"
3005,"Wadding, Gauze, Bandages (dressings, Adhesive Plasters, Poultices), Impregnated or Coated with Pharmaceutical Substances or in forms or Packings for Retail Sale, for Medical, Surgical or Veterinary use"
3006,Pharmaceutical Goods
3101,"Fertilizers; Animal or Vegetable, whether or not Mixed Together or Chemically Treated; Fertilizers produced by the Mixing or Chemical Treatment of Animal or Vegetable Products"
3102,"Fertilizers; Mineral or Chemical, Nitrogenous"
3103,"Fertilizers; Mineral or Chemical, Phosphatic"
3104,"Fertilizers; Mineral or Chemical, Potassic"
3105,"Fertilizers; Mineral, Chemical, containing 2 or 3 of the Elements Nitrogen, Phosphorus, Potassium; other Fertilisers; Goods of Chapter 31 in Tablets or Packages of Gross Weight not exceeding 10 Kg"
3201,"Tanning Extracts of Vegetable Origin; Tannins and their Salts, Ethers, Esters and other Derivatives"
3202,"Tanning Substances; Synthetic Organic or Inorganic Tanning Substances; Tanning preparations, whether or not containing Natural Tanning Substances, Enzymatic preparations for Pre-tanning"
3203,"Colouring Matter of Vegetable or Animal Origin (including Dyeing Extracts, not Animal Black); whether or not Chemically Defined; preparations Based on Colouring Matter of Vegetable or Animal Origin"
3204,Synthetic Organic Colouring Matter and preparations Based thereon; Synthetic Organic Products used as Fluorescent Brightening Agents or as Luminophores; whether or not Chemically Defined
3205,Colour Lakes; preparations Based on Colour Lakes as specified in Note 3 to this Chapter
3206,"Colouring Matter and preparations thereof n.e.s. in Heading No. 3203, 3204, 3205; Inorganic Products, kind used as Luminophores whether or not Chemically Defined"
3207,"Pigments, prepared; Opacifiers, Colours, Vitrifiable Enamels, Glazes, Engobes (slips), Liquid Lustres etc as used in the Ceramic Enamelling or Glass Industry; Glass Frit and powder, Granules or Flakes"
3208,"Paints, Varnishes; (enamels and Lacquers) Based on Synthetic Polymers or Chemically Modified Natural Polymers, Dispersed or Dissolved in a Non-aqueous Medium"
3209,"Paints and Varnishes (including Enamels and Lacquers) Based on Synthetic or Chemically Modified Natural Polymers, Dispersed or Dissolved in an Aqueous Medium"
3210,"Paints and Varnishes (including Enamels, Lacquers and Distempers), excluding those of Heading No. 3209) prepared Water Pigments of a kind used for Finishing Leather"
3211,"Driers, prepared"
3212,"Pigments (metallic Powders and Flakes) Dispersed in Non-aqueous Media, in Liquid O Paste form, as used in Manufacture of Paints (including Enamels); Stamping Foils, Dyes Etc. in forms, Packing for Retail Sale"
3213,"Colours; Artists, Students, or Signboard Painters, Modifying Tints, Amusement Colours and the like; in Tablets, Tubes, Jars, Bottles, Pan or in similar forms or Packings"
3214,"Glaziers Putty, Grafting Putty, Resin Cements, Caulking Compounds and other Mastics; Painters Fillings; Non-refractory Surfacing preparations for Facades, Indoor Walls, Floors, Ceilings or the like"
3215,"Ink; Printing, Writing or Drawing Ink and other Inks; whether or not Concentrated or Solid"
3301,"Oils; Essential (concretes, Absolutes); Concentrates thereof in Fats, Fixed Oils, Waxes Etc. (obtained by Enfleurage, Maceration); Aqueous Distillates, Solutions and Terpenic By-products thereof; Resinoids"
3302,"Odoriferous Substances and Mixtures (including Alcoholic Solutions) with a basis of one or more of these Substances, of a kind used as Raw Materials in Industry"
3303,Perfumes and Toilet Waters
3304,"Cosmetic and Toilet preparations; Beauty, Make-up and Skin Care preparations (excluding Medicaments, including Sunscreen or Sun Tan Preparations), Manicure or Pedicure preparations"
3305,Hair preparations; for use on the Hair
3306,"Oral or Dental Hygiene preparations, including Fixative Pastes and Powders"
3307,"Perfumery, Cosmetic or Toilet preparations; Pre-shave, Shaving, After-shave, Bath preparations; Personal Deodorants and Depilatories; Room Deodorisers, Perfumed or not with Disinfectant Properties or not"
3401,"Soap; Organic Surface-active Products, preparations for use as Soap; Bars, Cakes, Moulded Pieces Etc., not containing Soap; Paper, Wadding Felt, Non-wovens, Impregnat- Ed, Coated, Covered with Soap or Detergent"
3402,"Organic Surface-active Agents (not Soap); Surface-active, Washing (including Auxiliary Washing) and Cleaning preparations, containing Soap or not, excluding those of Heading No. 3401"
3403,Lubricating preparations and those used in Oil or Grease Treatment of Textile and similar Materials; excluding preparations containing 70% or more (by Weight) of Petroleum or Bituminous Mineral Oils
3404,"Waxes; Artificial, prepared"
3405,"Polishes, Creams, Scouring Pastes, Powders and similar; in any form, (including articles Impregnated, Coated or Covered with Such), for Furniture, Footwear, Floors, Coachwork, Glass or Metal"
3406,"Candles, Tapers and the like"
3407,"Modelling Pastes, including those for Children; Dental Wax, Impression Compounds, in Sets or Packings for Retail Sale or in Plates and similar forms; Dentistry preparations with Plaster Base"
3501,"Casein, Caseinates and other Casein Derivatives; Casein Glues"
3502,Albumins; Albuminates and other Albumin Derivatives
3503,"Gelatin (including Gelatin in Rectangular Sheets, whether or not Surface-worked or Coloured) and Gelatin Derivatives; Isinglass; other Glues of Animal Origin, excluding Casein Glues of Heading No. 3501"
3504,"Peptones and their Derivatives; other Protein Substances and their Derivatives n.e.s. or included; Hide powder, whether or not Chromed"
3505,Dextrins and other Modified Starches (e.g. Pregelatinised or Esterified Starches); Glues Based on Starches or on Dextrins or other Modified Starches
3506,"Prepared Glues and other prepared Adhesives, n.e.s. or included; Products Suitable for use as Glues or Adhesives, put up for Retail Sale as Glues or Adhesives, not exceeding 1kg Net Weight"
3507,Enzymes; prepared Enzymes not elsewhere specified or included
3601,Explosives; Propellent Powders
3602,"Prepared Explosives, other than Propellent Powders"
3603,Safety Fuses; Detonating Fuses; Percussion or Detonating Caps; Igniters; Electric Detonators
3604,"Fireworks, Signalling Flares, Rain Rockets, Fog Signals and other Pyrotechnic articles"
3605,Matches; other than Pyrotechnic articles of Heading No. 3604
3606,Ferro-cerium and other Pyrophoric Alloys in All forms; articles of Combustible Materials n.e.s. in Chapter 36
3701,"Photographic Plates and Film in the Flat, Sensitised, Unexposed, of any Material other than Paper, Paperboard or Textiles; Instant Print Film in the Flat, Sensitised, Unexposed, whether or not in Packs"
3702,"Photographic Film in Rolls, Sensitised, Unexposed, of any Material other than Paper, Paperboard or Textiles; Instant Print Film in Rolls, Sensitised, Unexposed"
3703,"Photographic Paper, Paperboard and Textiles; Sensitised, Unexposed"
3704,"Photographic Plates, Film, Paper, Paperboard and Textiles, Exposed but not Developed"
3705,"Photographic Plates and Film; Exposed and Developed, other than Cinematographic Film"
3706,"Cinematographic Film; Exposed and Developed, whether or not incorporating Sound Track or Consisting only of Sound Track"
3707,"Chemical preparations for Photographic uses (other than Varnishes, Glues, Adhesives and similar Preparations); Unmixed Products for Photographic uses, put up in Measured Portions or for Retail Sale"
3801,"Artificial Graphite; Colloidal or Semi- Colloidal Graphite; preparations Based on Graphite or other Carbon in the form of Pastes, Blocks, Plates or other Semi- Manufactures"
3802,"Activated Carbon; Activated Natural Mineral Products; Animal Black, including Spent Animal Black"
3803,"Tall Oil, whether or not Refined"
3804,"Residual Lyes from the Manufacture of Wood Pulp, whether or not Concentrated, Desugared or Chemically Treated, including Lignin Sulphonates, but excluding Tall Oil of Heading No. 3803"
3805,"Gum, Wood or Sulphate Turpentine, other Turpenic Oils; Crude Dipentene; Sulphite Turpentine, other Crude Para-cymene; Pine Oil containing Alpha-terpineol as the Main Constituent"
3806,Rosin and Resin Acids and Derivatives thereof; Rosin Spirit and Rosin Oils; Run Gums
3807,"Wood Tar; Wood Tar Oils; Wood Creosote; Wood Naphtha; Vegetable Pitch; Brewers' Pitch and similar preparations Based on Rosin, Resin Acids or on Vegetable Pitch"
3808,"Insecticides, Rodenticides, Fungicides, Herbicides, Anti-sprouting Products, Plant Growth Regulators, Disinfectants and the like, in forms or Packings for Retail Sale or as preparations or articles"
3809,"Finishing Agents, Dye Carriers to Accelerate the Dyeing, Fixing of Dyestuffs, other Products and preparations, of a kind used in the Textile, Paper, Leather or like Industries, n.e.s. or included"
3810,"Metal-pickling preparations; Fluxes Etc. for Soldering, Brazing; Welding Powders, Pastes of Metal and other Materials; preparations used as Cores or Coatings for Welding Electrodes or Rods"
3811,"Anti-knock preparations, Oxidation and Gum Inhibitors, Viscosity Improvers, Anti- Corrosive preparations and the like, for Mineral Oils (including Gasoline) or other Liquids used for the Same purposes"
3812,"Prepared Rubber Accelerators; Compound Plasticisers for Rubber or Plastics, n.e.s. or included; Anti-oxidising preparations and other Compound Stabilisers for Rubber or Plastics"
3813,Preparations and Charges for Fire Extinguishers; Charged Fire Extinguishing Grenades
3814,"Organic Composite Solvents and Thinners, not elsewhere specified or included; prepared Paint or Varnish Removers"
3815,"Reaction Initiators, Reaction Accelerators and Catalytic preparations n.e.s. or included"
3816,"Refractory Cements, Mortars, Concretes and similar Compositions; other than Products of Heading No. 3801"
3817,"Mixed Alkylbenzenes and Mixed Alkylnaphthalenes, other than those of Heading No. 2707 or 2902"
3818,"Chemical Elements Doped for use in Electronics, in the form of Discs, Wafers or similar forms; Chemical Compounds Doped for use in Electronics"
3819,"Hydraulic Brake Fluids and other prepared Liquids for Hydraulic Transmission, not containing or containing Less than 70% by Weight of Petroleum Oils or Oils Obtained from Bituminous Minerals"
3820,Anti-freezing preparations and prepared De- Icing Fluids
3821,Prepared Culture Media for Development of Micro-organisms
3822,"Composite Diagnostic or Laboratory Reagents, other than those of Heading No. 3002 or 3006"
3823,"Prepared Binders for Foundry Moulds or Cores; Chemical Products and preparations and Residual Products of the Chemical or Allied Industries, n.e.s. or included"
3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included"
3825,"Gum, wood or sulphate turpentine and other terpenic oil produced by the distillation or other treatment of coniferous woods; crude dipentene; sulphite turpentine and other crude para-cymene; pine oil containg alpha"
3901,"Polymers of Ethylene, in primary forms"
3902,"Polymers of Propylene or of other Olefins, in primary forms"
3903,"Polymers of Styrene, in primary forms"
3904,"Polymers of Vinyl Chloride or of other Halogenated Olefins, in primary forms"
3905,"Polymers of Vinyl Acetate or of other Vinyl Esters, in primary forms; other Vinyl Polymers in primary forms"
3906,Acrylic Polymers in primary forms
3907,"Polyacetals, other Polyethers and Epoxide Resins, in primary forms; Polycarbonates, Alkyd Resins, Polyallyl Esters and other Polyesters, in primary forms"
3908,Polyamides in primary forms
3909,"Amino-resins, Phenolic Resins and Polyurethanes, in primary forms"
3910,Silicones in primary forms
3911,"Petroleum Resins, Coumarone-indene Resins, Polyterpenes, Polysulphides, Polysulphones and similar Products of Chemical Synthesis n.e.s. in Chapter 39, in primary forms"
3912,"Cellulose and Its Chemical Derivatives, n.e.s. or included, in primary forms"
3913,"Natural Polymers (e.g. Alginic Acid) and Modified Natural Polymers (e.g. Hardened Proteins, Chemical Derivatives of Natural Rubber), n.e.s. or included, in primary forms"
3914,"Ion-exchangers; Based on Polymers of Heading No. 3901 to 3913, in primary forms"
3915,"Waste, Parings and Scrap, of Plastics"
3916,"Monofilament of which any Cross-sectional Dimension exceeds 1mm, Rods, Sticks and Profile shapes, whether or not Surface- Worked but not otherwise Worked, of Plastics"
3917,"Tubes, Pipes and Hoses and Fittings thereof (for Example, Joints, Elbows, Flanges), of Plastics"
3918,"Floor Coverings of Plastics, Self-adhesive or not, in Rolls or Tiles; Wall or Ceiling Coverings of Plastics, in Rolls of a Width not Less than 45cm"
3919,"Self-adhesive Plates, Sheets, Film, Foil, Tape, Strip and other Flat shapes, of Plastics, whether or not in Rolls"
3920,"Plastic Plates, Sheets, Film, Foil and Strip; Non-cellular and not Reinforced, Laminated, Supported or similarly Combined with other Materials, n.e.s. in Chapter 39"
3921,"Plastic Plates, Sheets, Film, Foil and Strip n.e.s. in Chapter 39"
3922,"Sanitary Ware; Baths, Shower-baths, Wash- Basins, Bidets, Lavatory Pans, Seats and Covers, Flushing Cisterns and similar articles, of Plastic"
3923,Plastic articles for the Conveyance or Packing of Goods;
3924,"Tableware, Kitchenware, other Household articles and Toilet articles, of Plastics"
3925,Plastics; Builders' Wares n.e.s. or included
3926,"Articles of Plastics and articles of other Materials of Heading No. 3901 to 3914, n.e.s. in Chapter 39"
4001,"Natural Rubber, Balata, Gutta-percha, Guayule, Chicle and similar Gums; in primary forms or in Plates, Sheets or Strip"
4002,"Synthetic Rubber and Factice Derived from Oils, in primary forms or in Plates, Sheets or Strip; Mixtures of Heading No. 4001 and 4002, in primary forms or in Plates, Sheets or Strip"
4003,"Reclaimed Rubber in primary forms or in Plates, Sheets or Strip"
4004,"Waste, Parings and Scrap of Rubber (other than Hard Rubber) and Powders and Granules Obtained Therefrom"
4005,"Compounded Rubber, Unvulcanised, in primary forms or in Plates, Sheets or Strip"
4006,"Unvulcanised Rubber in other forms (e.g. Rods, Tubes and Profile shapes and articles (e.g. Discs and Rings)"
4007,Vulcanised Rubber Thread and Cord
4008,"Plates, Sheets, Strip, Rods and Profile shapes, of Vulcanised Rubber other than Hard Rubber"
4009,"Tubes, Pipes and Hoses, of Vulcanised Rubber (other than Hard Rubber), with or without their Fittings (e.g. Joints, Elbows, Flanges)"
4010,"Conveyor or Transmission Belts or Belting, of Vulcanised Rubber"
4011,"New Pneumatic Tyres, of Rubber"
4012,"Retreaded or used Pneumatic Tyres of Rubber; Solid or Cushion Tyres, Interchangeable Tyre Treads and Tyre Flaps, of Rubber"
4013,"Inner Tubes, of Rubber"
4014,"Hygienic or Pharmaceutical articles (including Teats), of Vulcanised Rubber other than Hard Rubber, with or without Fittings of Hard Rubber"
4015,"Articles of Apparel and Clothing Accessories (including Gloves), for All purposes, of Vulcanised Rubber other than Hard Rubber"
4016,"Articles of Vulcanised Rubber other than Hard Rubber, n.e.s. in Chapter 40"
4017,"Hard Rubber (e.g. Ebonite) in All forms, including waste and Scrap; articles of Hard Rubber"
4101,"Raw Hides and Skins of Bovine or Equine Animals (fresh, Salted, Dried, Limed, Pickled, otherwise preserved but not Tanned, Parchment Dressed or Further Prepared), whether or not Dehaired or Split"
4102,"Raw Skins of Sheep or Lambs (fresh, Salted, Dried, Limed, Pickled or otherwise preserved, but not Further Prepared), whether or not with Wool on or Split"
4103,"Raw Hides and Skins N.e.s in Headings No. 4101, 4102; Fresh, Salted, Dried, Pickled or otherwise preserved, not Further prepared, whether or not Dehaired or Split"
4104,"Leather of Bovine or Equine Animals, without Hair on, excluding Leather of Heading No. 4108 or 4109"
4105,"Sheep or Lamb Skin Leather, without Wool on, excluding Leather of Heading No. 4108 or 4109"
4106,"Leather; Goat or Kid Skin, without Hair on, other than Leather of Heading No. 4108 or 4109"
4107,"Leather; of Animals n.e.s. in Chapter 41, without Hair on, excluding Leather of Heading No. 4108 or 4109"
4108,Chamois (including Combination Chamois) Leather
4109,"Patent Leather and Patent Laminated Leather, Metallised Leather"
4110,"Parings and other waste of Leather or of Composition Leather, not Suitable for the Manufacture of Leather articles; Leather Dust, powder and Flour"
4111,"Composition Leather with a basis of Leather or Leather Fibre, in Slabs, Sheets or Strip whether or not in Rolls"
4201,"Saddlery and Harness for any Animal (including Traces, Leads, Knee Pads, Muzzles, Saddle Cloths, Saddle Bags, Dog Coats and the Like) of any Material"
4202,"Trunks; Suit, Camera, Jewellery, Cutlery Cases; Travel, Tool, similar Bags; Wholly or mainly Covered by Leather, Composition Leather, Plastic Sheeting, Textile Materials, Vulcanised Fibre, Paperboard"
4203,"Articles of Apparel and Clothing Accessories, of Leather or of Composition Leather"
4204,"Articles of Leather or of Composition Leather, of a kind used in Machinery or Mechanical Appliances or for other Technical uses"
4205,Leather or Composition Leather articles n.e.s. in Chapter 42
4206,"Articles of Gut (other than Silk-worm Gut), of Goldbeater's Skin, of Bladders or of Tendons"
4301,"Raw Furskins (including Heads, Tails, Paws, other Pieces or Cuttings, Suitable for Furriers' Use), excluding Raw Hides and Skins of Heading No. 4101, 4102 or 4103"
4302,"Tanned or Dressed Furskins (including Heads, Tails, Paws, other Pieces, Cuttings), Unassembled, Assembled (without Addition of other Materials), excluding those of Heading No. 4303"
4303,"Articles of Apparel, Clothing Accessories and other articles of Furskin"
4304,Artificial Fur and articles thereof
4401,"Fuel Wood, in Logs, Billets, Twigs, Faggots or similar forms; Wood in Chip or Particles; Sawdust and Wood waste and Scrap, whether or not Agglomerated in Logs, Briquettes, Pellets or similar forms"
4402,"Wood Charcoal (including Shell or Nut Charcoal), whether or not Agglomerated"
4403,"Wood in the Rough, whether or not Stripped of Bark or Sapwood, or Roughly Squared"
4404,"Hoopwood; Split Poles; Piles, Pickets, Stakes of Wood, Pointed, not Sawn Length- Wise; Wooden Sticks, Roughly Trimmed, not Turned, Bent, Etc., Suitable for Walking Sticks, Umbrellas, Tool Handles, Etc."
4405,Wood Wool; Wood Flour
4406,Railway or Tramway Sleepers (cross Ties) of Wood
4407,"Wood Sawn or Chipped Lengthwise, sliced, Peeled, whether or not Planed, Sanded or Finger Jointed, of a Thickness exceeding 6mm"
4408,"Veneer Sheets and Sheets for Plywood (spliced or Not) and other Wood Sawn Lengthwise, sliced or Peeled, whether or not Planed, Sanded or Finger-jointed, of a Thickness not exceeding 6mm"
4409,"Wood (including Strips, Friezes for Parquet Flooring, not Assembled), Continuously Shaped (tongued, Grooved, V-jointed, Beaded or the Like) Along any Edge or Face, Planed Sanded, Finger-jointed or not"
4410,"Particle Board and similar Board; of Wood or other Ligneous Materials, whether or not Agglomerated with Resins or other Organic Binding Substances"
4411,"Fibreboard of Wood or other Ligneous Materials, whether or not Bonded with Resins or other Organic Substances"
4412,"Plywood, Veneered Panels and similar Laminated Wood"
4413,"Densified Wood, in Blocks, Plates, Strips or Profile shapes"
4414,"Wooden Frames; for Paintings, Photographs, Mirrors or similar Objects"
4415,"Packing Cases, Boxes, Crates, Drums and similar Packings, of Wood; Cable Drums of Wood; Pallets, Box Pallets and other Load Boards, of Wood"
4416,"Casks, Barrels, Vats, Tubs and other Coopers' Products and Parts thereof, of Wood, including Staves"
4417,"Tools, Tool Bodies, Tool Handles, Broom or Brush Bodies and Handles, of Wood; Boot or Shoe Lasts and Trees, of Wood"
4418,"Builders' Joinery and Carpentry of Wood, including Cellular Wood Panels, Assembled Parquet Panels, Shingles and Shakes"
4419,"Tableware and Kitchenware, of Wood"
4420,"Wood Marquetry and Inlaid Wood; Caskets and Cases for Jewellery or Cutlery, and similar articles of Wood; Statuettes and other Ornaments of Wood; Wooden articles of Furniture not Falling in Chapter 94"
4421,Wooden articles n.e.s. in Heading No. 4414 to 4420
4501,"Cork; Natural, Raw or simply prepared; waste Cork; Crushed, Granulated or Ground Cork"
4502,"Cork; Natural, Debacked or Roughly Squared, or in Rectangular (including Square) Blocks, Plates, Sheets or Strip, (including Sharp-edged Blanks for Corks or Stoppers)"
4503,Cork; articles of Natural Cork
4504,Cork; Agglomerated (with or without a Binding Substance) and articles of Agglomerated Cork
4601,"Plaits and similar Products of Plaiting Materials, Assembled into Strips or not; Plaiting Materials, Plaits and the like Bound Together in Parallel Strands or Woven in Sheet form, Finished articles or not"
4602,"Basketwork, Wickerwork and other articles, made Directly to shape from Plaiting Materials or made up from Goods of Heading No. 4601; articles of Loofah"
4701,"Wood Pulp, Mechanical Wood Pulp"
4702,"Chemical Wood Pulp, Dissolving Grades"
4703,"Chemical Wood Pulp, Soda or Sulphate, other than Dissolving Grades"
4704,"Chemical Wood Pulp, Sulphite, other than Dissolving Grades"
4705,Wood Pulp; Semi-chemical
4706,Pulps of other Fibrous Cellulosic Material
4707,Paper and Paperboard; waste and Scrap
4801,"Newsprint, in Rolls or Sheets"
4802,"Paper and Paperboard, Uncoated, used for Writing, Printing Etc., Punch Card Stock and Punch Tape Paper, in Rolls or Sheets, excluding Paper of Heading No. 4801 or 4803; Hand-made Paper or Paperboard"
